"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"18230262",,"Estrada Dos Tres Rios próximo ao 329",,"-22.93875968316726","-43.3404213847201","18230262",,"0",,,
"18230260",,"Estrada Dos Tres Rios próximo ao 529",,"-22.937828423578893","-43.33877987333833","18230260",,"0",,,
"18230258",,"Rua Comte Rubens Silva próximo ao 417",,"-22.93863969998501","-43.3369689680021","18230258",,"0",,,
"18230256",,"Rua Tirol próximo ao 280",,"-22.94067570210099","-43.33932721710551","18230256",,"0",,,
"18230220",,"Estrada De Jacarepagua próximo ao 2186",,"-22.980207564018368","-43.32671203711835","18230220",,"0",,,
"18247438",,"Rua Taborari próximo ao 330",,"-22.827875963458162","-43.285857912172474","18247438",,"0",,,
"18230222",,"Estrada De Jacarepagua próximo ao 1407","Escola Municipal","-22.977946949442952","-43.326500377629316","18230222",,"0",,,
"18230216",,"Avenida Engenheiro Souza Filho próximo ao 1500",,"-22.98731990793594","-43.328838899887494","18230216",,"0",,,
"18247434",,"Rua Cintra próximo ao 1",,"-22.831562690980352","-43.28091963453025","18247434",,"0",,,
"18230218",,"Estrada De Jacarepagua próximo ao 1407",,"-22.985266856676827","-43.329562333584164","18230218",,"0",,,
"18230212",,"Estrada Do Itanhanga próximo ao 2526",,"-22.992190812547157","-43.32114787223405","18230212",,"0",,,
"18230214",,"Avenida Engenheiro Souza Filho próximo ao 1206",,"-22.988442877746834","-43.32452776880803","18230214",,"0",,,
"18230208",,"Estrada Do Itanhanga próximo ao 627",,"-22.997686164181882","-43.31813910274415","18230208",,"0",,,
"18230210",,"Estrada Do Itanhanga próximo ao 2528",,"-22.993559214663428","-43.32126711208812","18230210",,"0",,,
"18230237",,"Estrada De Jacarepagua próximo ao 4427",,"-22.96922548354778","-43.33509688716872","18230237",,"0",,,
"18230239",,"Estrada De Jacarepagua próximo ao 4752",,"-22.96638088203792","-43.334825061138716","18230239",,"0",,,
"18230228",,"Estrada De Jacarepagua próximo ao 472","CIEP","-22.974508162337017","-43.32753154634027","18230228",,"0",,,
"18230230",,"Estrada De Jacarepagua próximo ao 2865",,"-22.97391490148911","-43.328576125118786","18230230",,"0",,,
"18247447",,"Rua Mar Grande próximo ao 1",,"-22.817403708079475","-43.289337503113174","18247447",,"0",,,
"18230224",,"Estrada De Jacarepagua próximo ao 1407",,"-22.97634547930043","-43.325510532853784","18230224",,"0",,,
"18247440",,"Rua Taborari próximo ao 568",,"-22.825708241969227","-43.28635208253433","18247440",,"0",,,
"18230226",,"Estrada De Jacarepagua próximo ao 1407","Escola Municipal","-22.97479379493653","-43.32654861080357","18230226",,"0",,,
